순번,표제어,대분류,영문,설명,출처,출처1,중분류
6392,부가가치,사업/계약관리,Value Added,판매 가격과 생산 가격의 차이. 총생산액에서 생산에 사용된 원재료를 공제한 순액으로서 생산 활동을 함으로써 생산물에 새로이 부가한 가치를 말한다.,과학기술용어사전,,계약관리
6393,부가가치세,사업/계약관리,Value Added Tax,"상품이나 용역이 생산 유통되는 모든 단계에서 기업이 새로 만들어내는 가치인 마진에 대해 과하는 세금, 즉 영업세나 물품세처럼 기업이 판매한 금액 전액에 대해 과세하는 것이 아니라 판매 금액에서 매입 금액을 공제한 나머지 금액 부가가치에다 부가가치세율을 곱한 것이 부가가치세액이 된다. ☞ VAT(Value Added Tax), 부가세(附加稅)",과학기술용어사전+국방부군수전력용어사전,,계약관리
6394,부가세,사업/계약관리,Additional Tax,국세를 기준으로 다시 지방 공공단체가 첨가하여 부과하는 조세이다.,과학기술용어사전+국방부군수전력용어사전,,계약관리
6395,부가정수,사업/계약관리,Additive Level,"전시 비축 소요 및 생산 중단 대비 사전 확보 품목, 초도 예비 수리부속 등 특수 소요가 발생할 때 설정하며 부가 정수는 최고 정수, 최저 정수, 고정 정수와 이중으로 설정할 수 있으며, 청구량 결정 및 일반 운영 개념상 청구 목표에는 포함되지 않는다.",과학기술용어사전+국방부군수전력용어사전,,계약관리
6396,부게 보정,행정공통,Bouguer Correction,"관측점들의 고도차에 존재하는 물질의 인력이 중력에 미치는 영향을 보정하는 것을 말한다. 각 관측점 아래 존재하는 물질은 모두 다르지만, 관측점과 기준면의 높이차를 두께로 하는 밀도가 일정한 무한 수평판(부게판)이 있는 것으로 가정하고 계산한다. 부게 보정은 관측점이 기준면보다 높을 경우, 질량에 의한 인력이 관측 값에 더해져 있으므로 보정 값을 빼주어야 하며, 후리에어 보정과는 보정 부호가 반대이다.",과학기술용어사전,,기타
6397,부게 이상,기타,Bouguer Anomaly,"중력 관측점과 지오이드면 사이의 질량을 고려한 중력 이상. 지형 보정을 실시하느냐 하지 않느냐에 따라 두 가지로 나누어진다. 부게 보정은 후리에어 이상에 부게 보정 및 지형 보정을 더하여 얻은 중력 이상이며, 지형 보정을 하지 않고 부게 보정만 실시한 경우를 단순 부게 보정이라 한다. 부게 이상은 후리에어 이상과는 반대로 고도가 높을 수록 음(-)의 방향으로 감소한다.",국방과학기술용어,국방과학기술용어사전,기타
6398,부과금,사업/계약관리,Surcharge,"표준가격 또는 물자의 계약원가에 포함되지 않은 물자의 불출, 판매, 이전과 관련 부수적인 비용. 포장/결박/취급비(Packing, Crating, Handling : PCH), 수송비(Transportation), 행정비(Administrative Fee), 군수지원비 (Logistics Support Change), 계약행정서비스(Contract Administrative Service), 저장원가 (Storage Costs), 집합원가(Staging) 등이 포함된다.",방사청용어,FMS 실무업무 Q&A,계약관리
6399,부관 참모부,기타,The Staff Of Aide-de-camp,"육군의 각급 사령부에서 인사 행정, 관인(官印) 관리, 문서 및 서무에 관한 사항을 맡아보는 특별 참모 부서. ☜ 부관부(副官部)",국방과학기술용어,국방과학기술용어사전,기타
6400,부관부,기타,,☞ 부관 참모부(副官參謀部),국방과학기술용어,국방과학기술용어사전,기타
6401,부교,기타,Floating Bridge,"(1) 배나 부유물에 의해 지지되는 차도 또는 보도가 있는 임시 교량. 도섭이 불가능한 하천에서 인원, 차량 및 장비의 신속한 도하를 위해 문교를 대치하여 운용되며, 병력의 도하를 위한 알루미늄 도보교와 차량 및 장비의 도하를 위한 리본 부교로 구분된다. 리본 부교 1개 세트는 교량 가설 단정 14대, 내부 교절 30개, 진입 교절 12개, 수송 차량 56대로 구성되며 길이 215m까지의 부교를 설치할 수 있다. (2) 강 건너로 장비 및 병력을 보내기 위하여 부유물에 의하여 가설되는 임시교량. (3) 배, 뗏목 따위를 잇대거나 교각을 세우지 않고 강 위에 놓은 임시 다리를 말함.☜ FB(Floating Bridge), 부랑(浮梁)",국방과학기술용어,국방과학기술용어사전,기타
6402,부교감 신경,기타,Parasympathetic Nerve,"교감 신경과 함께 자율 신경을 구성하는 원심 신경으로 호흡, 소화, 순환 등을 지배하며, 흥분하면 말단에서 아세틸콜린을 분비하고 심장에는 제어적 작용을 하며 위장운동에는 촉진 작용을 함.",국방과학기술용어,국방과학기술용어사전,기타
6403,부기,사업/계약관리,Bookkeeping,"재산의 증감 변화를 기록, 계산, 정리하여 그 결과를 적는 기장법이다. 특정한 경제 주체의 경영 활동에 의하여 성과와 재정 상태의 변동 사실 및 그 사유를 명확히 알기 위한 조직적인 기록 계산 방법이며, 회계 기술이다. 부기는 기록 계산의 방법에 따라서 단식 부기와 복식 부기로 분류하며, 부기를 이용하는 회계 주체에 따라서 영리 부기와 비영리 부기로 분류한다. 영리 부기는 기업 부기라고도 하며, 이것을 상업 부기, 공업 부기, 은행 부기, 농업 부기 등 업종에 따라 구분하고, 비영리 부기는 가계 부기, 학교 부기, 관청 부기 등 비영리 단체에서 적용한다.",과학기술용어사전+국방부군수전력용어사전,,계약관리
6404,부담금,사업/계약관리,Burden Charge,특정 공익사업에 드는 경비의 전부 또는 일부를 특별한 이해관계를 가진 사람에게 부담시키는 돈이다. 국가와 공공지방 단체 상호간에 사업비의 일부를 부담하는 돈을 말한다.,과학기술용어사전+국방부군수전력용어사전,,계약관리
6405,부대,기타,"Troop, Unit, Force","Unit 국군 조직법에 의하여 설치되는 국군의 모든 편성체를 말하며, 기관을 제외한 군사 조직 단위.",국방과학기술용어,국방과학기술용어사전,기타
6406,부대 가중치,행정공통,Weapon Effectiveness Index/weighted Unit Value),여러 가지 무기들을 복합적으로 보유하고 서로 대치하고 있는 피아 부대 간의 상대적 전투력을 하나의 수치로 표시한 지수를 말한다. ☞ WEI/WUV(Weapon Effectiveness Index/weighted Unit Value),과학기술용어사전,,군사용어
6407,부대 계획,행정공통,Troop Programming,"군 통제 계획의 하나로서 현역 군 병력 및 부대 구조에 대한 목표와 지침을 제공하고 군 전략 목표 기획 및 제한된 전투를 위하여 제 소요를 충족해 주기 위한 창설, 해체, 개편, 군인 및 군무원에 대한 부대 기준 전개 및 준비 태세 목표를 설정하는 계획을 말한다. ☞ TP(Troop Programming)",과학기술용어사전,,군사용어
6408,부대 구조,행정공통,Unit Structure,"국방부로부터 승인된 정원을 기초로 지휘 부대, 전투 부대, 전투 지원 부대, 군수 지원 부대, 행정 지원 부대로 구분하여 전투력 발휘가 용이하도록 지휘 제대별로 형성된 체계를 말한다.",과학기술용어사전,,군사용어
6409,부대 기준표,행정공통,Troop Basis,"특수 임무의 수행에 필요한 군의 부대와 인원(군속 포함)의 수, 편성 및 장비별로 나타낸 인가표를 말한다.",과학기술용어사전,,군사용어
6410,부대 단위,기타,,"분대, 반, 소대, 중대, 대대, 연대(단), 여단 , 사단, 군단, 군사령부 및 비표준화 부대로 구분. 다만, 부대의 특수성을 감안하여 중대와 대대, 대대와 연대의 중간 규모 부대를 두며 임무와 성격에 따라 부대 명칭을 부여함. ☜ U(Unit)",국방과학기술용어,국방과학기술용어사전,기타
6411,부대 방호,행정공통,Unit Protection,"모든 장소와 상황 하에서 부대원, 민간 고용인, 가족, 시설 및 장비들을 방호하기 위해서 계획된 경계로서 대 테러 작전, 물리적 경계, 작전 보안 및 인원 방호들을 계획적으로 통합 적용함으로써 달성된다.",과학기술용어사전,,군사용어
6412,부대 보충,행정공통,Unit Replacement,편제상의 공석을 보충하기 위하여 예속되었거나 배속된 부대 중에서 대량 피해로 무력화된 부대를 동등한 편성 장비표를 가진 부대로 보충하는 것을 말한다. 즉 어느 부대 전체를 대치시키는 보충 방법이다.,과학기술용어사전,,군사용어
6413,부대 분배,행정공통,Unit Distribution,상위 혹은 지원 부대에서 하위 혹은 피지원 부대에 추진 보급하는 형태로 피지원부 대가 기본 임무 수행에 전념 가능한 분배 방법이다.,과학기술용어사전+국방부군수전력용어사전,,군사용어
6414,부대 비용,사업/계약관리,Accessorial Cost,"1. 가격에 포함되지 않는 물자의 불출, 판매 및 이전, 또는 용역 및 훈련과 관련하여 발생하는 제 비용이다. ; Accessorial Cost의 최상위 부호는 “LOO” 이다. 2. 국외 조달 등 계약 체결시 사용되는 용어로서 물자 가격 이외에 인도과정에서 발생하는 비용 즉, 포장(Packing), 결속(Crating), 취급(Handling), 수송(Transportation), 관세 및 그 밖에 적하 보험료와 조작료 등이다.",1. 방사청용어 2. 과학기술용어사전,FMS 물자불출목록의 용어 설명,국제계약
6415,부대 수리부속품,전력지원체계,Oranization Repair Parts,부대 자체가 사용하기 위하여 그 부대에 인가된 수리부속품을 말한다. 부대 수리 품목은 분배 목적을 위한 저장 수리부속품과 대응하는 용어이다.,과학기술용어사전+국방부군수전력용어사전,,기타
6416,부대 시험,정책/제도,Troop Test,"작전, 편성 개념, 교리, 전술 및 기술 평가를 위하여 또는 자료에 대한 더 좋은 첩보를 얻기 위해 야외에서 실시하는 시험을 말한다.",과학기술용어사전,,기획조정
6417,부대 식별부호,정책/제도,Unit Identification Code,"여섯 자리의 영숫자로 구성된 부대의 유일한 식별 부호. 일반적으로 첫 문자는 A(Army), N(Navy) 등과 같이 군종을 나타낸다.(예: A00234).☞ UIC(Unit Identification Code), 단위 부대 식별 부호(單位部隊識別符號)",과학기술용어사전,,분석평가
6418,부대 실용 운용시험,사업/계약관리,,시제품에 대한 각종 작전 환경 및 이와 동등한 조건하에서 군 요구 적합성 여부를 평가하는 시험을 말한다.,과학기술용어사전,,사업관리
6419,부대 예규,정책/제도,Standing Operating Procedure,어떤 상황이 발생하였을 때 부대원이 수행하여야 할 행동 절차를 정하여 놓은 규정. 다른 명령이 없는 한 여기에 따라 행동하여야 한다. ☞ SOP(Standing Operating Procedure),과학기술용어사전,,획득기획
6420,부대 예비품,행정공통,"Reserve Supplies, Unit Reserves","비상시를 극복하기 위하여 부대가 보유하는 규정된 양의 예비보급품이다. (1) 적절한 보급품의 지속성을 계속 유지할 목적으로 즉시 필요한 소요량을 초과하여 저장하고 있는 보급품. (2) 안전 수준을 채우고 기타 특정 목적을 위한 보급 소요를 충족시키기 위하여 인가된 물자의 양(量). 특정 목적의 예로서는 신설되는 부대를 위한 장비나, 예상되는 작전을 지원하기 위한 보급품의 설정이 이에 해당된다.",과학기술용어사전+국방부군수전력용어사전,,기타
6421,부대 이동,행정공통,Troop Movement,"부여된 임무를 수행하기 위하여 전투력을 유지한 상태로 부대를 요구하는 시간과 장소에 위치시키는 것을 말하며 전술적 부대 이동과 행정적 부대 이동으로 분류되며, 형태에 따라 육상 이동, 해상 이동, 공중 이동으로 구분한다.",과학기술용어사전,,군사용어
6422,부대 이동 추적 체계,기타,Movement Tracking System,"이동 부대에 대한 관리를 자동화하고 전산화하여 실시간으로 관리 및 통제함으로써, 작전 운용 능력을 높여 군 전투력을 향상시키고, 국방 물류비를 절감할 수 있는 정보 체계. 부대 이동 추적 체계는 GPS(Global Positining System: 범세계 위치 추적 체계) 위성을 이용하여 이동 제대의 위치를 실시간으로 파악하고, 파악한 부대들의 위치를 GIS(Geographic Information System: 지형 정보 체계) 전자 지도상에 표시하여 전이동 제대의 현재 위치뿐만 아니라 우발 상황 파악 및 지시를 이동 제대에 신속히 전파하고 통제하는 함으로써 작전 운용 능력을 높여 군 전투력을 향상시키고, 국방 물류비를 절감할 수 있는 정보체계이다.☜ MTS(Movement Tracking System), 부대 추적 체계(部隊追跡體系)",국방과학기술용어,국방과학기술용어사전,기타
